书名,作者,出版社,出版时间,价格,评分,评价人数,简介,书籍链接,出版年份,主要作者,译者编者,评价区间,价格区间,出版年代,评分等级,出版社热度,作者热度,热度指数,简介关键词
雷雨,曹禺,人民文学出版社,1999-05,9.2,8.7,84088,一幕人生大悲剧，在一个雷雨夜爆发,https://book.douban.com/subject/1013416/,1999.0,曹禺,,5-10万,0-20元,1990.0年代,8.5-9分优秀,20,1,42.845186000790655,"['在一个雷', '大悲剧', '一幕人生']"
骆驼祥子,老舍,人民文学出版社,1962-10-1,12.0,8.6,222896,旧中国老北京贫苦市民的典型命运,https://book.douban.com/subject/1043815/,1962.0,老舍,,10-50万,0-20元,1960.0年代,8.5-9分优秀,20,3,45.993679563967156,"['型命运', '旧中国老', '北京贫苦']"
最好的我们,八月长安,湖南文艺出版社,2013-8-5,55.0,8.8,75914,耿耿余淮,https://book.douban.com/subject/24754316/,2013.0,八月长安,,5-10万,40-60元,2010.0年代,8.5-9分优秀,3,2,42.946832504641556,['耿耿余淮']
理想国,[古希腊] 柏拉图,郭斌和,商务印书馆,8.0,8.8,40815,人类历史上最早的乌托邦,https://book.douban.com/subject/1004821/,,[古希腊] 柏拉图,,1-5万,0-20元,未知,8.5-9分优秀,1,2,40.575214247351866,"['上最早的', '人类历史', '乌托邦']"
当呼吸化为空气,[美] 保罗·卡拉尼什,何雨珈,浙江文艺出版社,11.0,8.9,33643,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气,https://book.douban.com/subject/26896859/,,[美] 保罗·卡拉尼什,,1-5万,0-20元,未知,8.5-9分优秀,1,1,40.289362968703564,"['你见证生', '化作死后', '的空气']"
海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德,陈以侃,上海文艺出版社,1.0,9.0,22658,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟,https://book.douban.com/subject/26357614/,,[加拿大] 阿利斯泰尔·麦克劳德,,1-5万,0-20元,未知,9分以上神作,1,1,39.196994152143716,"['男女之间', '父母与子', '密的纽带']"
水浒传（全二册）,[明] 施耐庵,人民文学出版社,1997-1,50.6,8.7,84491,替天行道,https://book.douban.com/subject/1008357/,1997.0,[明] 施耐庵,,5-10万,40-60元,1990.0年代,8.5-9分优秀,20,1,42.8632509173417,['替天行道']
荒原狼,[德]赫尔曼·黑塞,赵登荣,上海译文出版社,7.0,9.0,26378,“超现实主义”风格作品，德国的《尤利西斯》,https://book.douban.com/subject/3131626/,,[德]赫尔曼·黑塞,,1-5万,0-20元,未知,9分以上神作,1,1,39.79117677528949,"['超现实主', '风格作品', '尤利西斯']"
万物有灵且美,[英] 吉米·哈利,种衍伦,中国城市出版社,1.0,8.9,24496,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事,https://book.douban.com/subject/4187411/,,[英] 吉米·哈利,,1-5万,0-20元,未知,8.5-9分优秀,1,1,39.06294704285225,"['便能对我', '命完全无', '故事']"
雨季不再来,三毛,北京十月文艺出版社,2007-7,28.0,8.8,58670,三毛少女时代的成长感受,https://book.douban.com/subject/2136140/,2007.0,三毛,,5-10万,20-40元,2000.0年代,8.5-9分优秀,7,6,41.96206157630372,"['长感受', '三毛少女', '时代的成']"
孙子兵法,孙武,郭化若,上海古籍出版社,7.0,9.4,15224,我国最古老最杰出的一部兵书,https://book.douban.com/subject/1949420/,,孙武,,1-5万,0-20元,未知,9分以上神作,1,1,39.31577048762227,"['我国最古', '老最杰出', '的一部兵']"
倚天屠龙记,金庸,生活·读书·新知三联书店,1999-04,47.0,8.7,65663,不识张郎是张郎,https://book.douban.com/subject/1070851/,1999.0,金庸,,5-10万,40-60元,1990.0年代,8.5-9分优秀,13,6,41.91069027112692,"['是张郎', '不识张郎']"
跨越边界的社区（修订版）,项飙,生活·读书·新知三联书店,2018-3,68.0,9.4,11687,,https://book.douban.com/subject/30116399/,2018.0,项飙,,1-5万,60-100元,2010.0年代,9分以上神作,13,1,38.23640861397662,[]
送你一颗子弹,刘瑜,上海三联书店,2010-1,25.0,8.6,146416,在这本书里，被“审视”的东西杂七杂八,https://book.douban.com/subject/4238362/,2010.0,刘瑜,,10-50万,20-40元,2010.0年代,8.5-9分优秀,1,2,44.42406142685771,"['的东西杂', '七杂八', '在这本书']"
罗生门,[日] 芥川龙之介,林少华,上海译文出版社,7.0,8.7,75523,人生，远比地狱更像地狱,https://book.douban.com/subject/3136271/,,[日] 芥川龙之介,,5-10万,0-20元,未知,8.5-9分优秀,1,1,42.43928932807113,"['人生', '更像地狱', '远比地狱']"
九州·缥缈录,江南,新世界出版社,2005-6,20.0,8.8,33007,乱世的英雄史诗,https://book.douban.com/subject/1321017/,2005.0,江南,,1-5万,0-20元,2000.0年代,8.5-9分优秀,2,1,39.76373326798892,"['雄史诗', '乱世的英']"
孩子你慢慢来,龙应台,生活·读书·新知三联书店,2009-12-1,28.0,8.7,82638,我们现在怎样做母亲,https://book.douban.com/subject/4207781/,2009.0,龙应台,,5-10万,20-40元,2000.0年代,8.5-9分优秀,13,2,42.77946424146314,"['我们现在', '怎样做母']"
不存在的骑士,[意] 伊塔洛·卡尔维诺,吴正仪,译林出版社,4.0,8.9,29675,,https://book.douban.com/subject/6789551/,,[意] 伊塔洛·卡尔维诺,,1-5万,0-20元,未知,8.5-9分优秀,3,3,39.804277475877,[]
现代艺术150年,[英] 威尔·贡培兹,王烁,广西师范大学出版社,3.0,9.1,16441,,https://book.douban.com/subject/26854318/,,[英] 威尔·贡培兹,,1-5万,0-20元,未知,9分以上神作,1,1,38.36494688699325,[]
显微镜下的大明,马伯庸,湖南文艺出版社,2019-1,52.0,8.7,55596,,https://book.douban.com/subject/30414743/,2019.0,马伯庸,,5-10万,40-60元,2010.0年代,8.5-9分优秀,3,2,41.28187885238178,[]
浮生六记,（清）沈复,人民文学出版社,1999-1,38.0,8.7,74800,苟不记之笔墨，未免有辜彼苍之厚,https://book.douban.com/subject/1088581/,1999.0,（清）沈复,,5-10万,20-40元,1990.0年代,8.5-9分优秀,20,1,42.402943901420805,"['笔墨', '彼苍之厚', '苟不记之']"
奥斯维辛,[英] 劳伦斯·里斯,刘爽,广西师范大学出版社,9.0,9.5,11784,,https://book.douban.com/subject/26861418/,,[英] 劳伦斯·里斯,,1-5万,0-20元,未知,9分以上神作,1,1,38.67728097142845,[]
庄子,孙通海 译注,孙通海  译注,中华书局,4.0,9.4,13447,野马也，尘埃也，生物之以息相吹也,https://book.douban.com/subject/2046236/,,孙通海 译注,,1-5万,0-20元,未知,9分以上神作,1,1,38.809078805833934,"['息相吹也', '尘埃也', '野马也']"
坟,鲁迅,人民文学出版社,2006-12,16.0,9.6,13880,,https://book.douban.com/subject/1974029/,2006.0,鲁迅,,1-5万,0-20元,2000.0年代,9分以上神作,20,6,39.76693887474083,[]
论语,刘胜利,中华书局,2006-12,9.8,9.1,26306,仁远乎哉？我欲仁，斯仁至矣,https://book.douban.com/subject/1964774/,2006.0,刘胜利,,1-5万,0-20元,2000.0年代,9分以上神作,3,1,40.222498823586754,"['我欲仁', '斯仁至矣', '仁远乎哉']"
你一生的故事,[美] 特德·姜,李克勤,译林出版社,5.0,8.8,39722,特德·姜科幻小说集,https://book.douban.com/subject/26295448/,,[美] 特德·姜,,1-5万,0-20元,未知,8.5-9分优秀,1,1,40.4714737422292,"['说集', '姜科幻小', '特德']"
渴望生活,[美] 欧文·斯通,常涛,北京十月文艺出版社,4.0,9.1,12358,梵高悲惨而成就辉煌的人生,https://book.douban.com/subject/3054821/,,[美] 欧文·斯通,,1-5万,0-20元,未知,9分以上神作,1,1,37.23672853699489,"['煌的人生', '而成就辉', '梵高悲惨']"
野火集,龙应台,文汇出版社,2005-8,25.0,8.7,35953,中国人，你为什么不生气,https://book.douban.com/subject/1426971/,2005.0,龙应台,,1-5万,20-40元,2000.0年代,8.5-9分优秀,1,2,39.634895672317356,"['不生气', '中国人', '你为什么']"
会饮篇,[古希腊] 柏拉图,王太庆,商务印书馆,1.0,9.3,13761,,https://book.douban.com/subject/21570668/,,[古希腊] 柏拉图,,1-5万,0-20元,未知,9分以上神作,1,2,38.4894449521203,[]
银河系漫游指南,[英] 道格拉斯·亚当斯,徐百柯,四川科学技术出版社,6.0,8.8,23920,一场穿越银河的冒险,https://book.douban.com/subject/1394364/,,[英] 道格拉斯·亚当斯,,1-5万,0-20元,未知,8.5-9分优秀,1,1,38.533098342784086,"['一场穿越', '银河的冒']"
金锁记,张爱玲,哈尔滨出版社,2005-6,13.5,8.7,67314,一个小商人家庭出身的女子曹七巧的心灵变迁历程,https://book.douban.com/subject/3017857/,2005.0,张爱玲,,5-10万,0-20元,2000.0年代,8.5-9分优秀,4,3,42.00451696612949,"['身的女子', '历程', '心灵变迁']"
黑箱：日本之耻,[日] 伊藤诗织,匡匡,雅众文化/中信出版集团,4.0,8.9,26315,,https://book.douban.com/subject/30484795/,,[日] 伊藤诗织,,1-5万,0-20元,未知,8.5-9分优秀,1,1,39.33981003174434,[]
哈姆莱特,[英] 莎士比亚,朱生豪,人民文学出版社,1.0,8.7,53890,生存还是毁灭，这是一个值得思考的问题,https://book.douban.com/subject/1006197/,,[英] 莎士比亚,,5-10万,0-20元,未知,8.5-9分优秀,1,1,41.16412119728542,"['值得思考', '的问题', '这是一个']"
二手时间,[白俄] S. A. 阿列克谢耶维奇,吕宁思,中信出版社,1.0,8.9,28387,,https://book.douban.com/subject/26704403/,,[白俄] S. A. 阿列克谢耶维奇,,1-5万,0-20元,未知,8.5-9分优秀,1,1,39.63276353009962,[]
分成两半的子爵,[意] 伊塔洛·卡尔维诺,吴正仪,译林出版社,1.0,8.8,33509,,https://book.douban.com/subject/10555486/,,[意] 伊塔洛·卡尔维诺,,1-5万,0-20元,未知,8.5-9分优秀,3,3,39.821420913966605,[]
象棋的故事,[奥] 斯蒂芬·茨威格,张玉书,上海译文出版社,7.0,9.1,14307,纳粹法西斯对人心灵的折磨及摧残,https://book.douban.com/subject/2158684/,,[奥] 斯蒂芬·茨威格,,1-5万,0-20元,未知,9分以上神作,2,2,37.81549205209712,"['斯对人心', '灵的折磨', '纳粹法西']"
规训与惩罚,[法] 米歇尔·福柯,刘北成,生活·读书·新知三联书店,1.0,9.3,12293,,https://book.douban.com/subject/1012307/,,[法] 米歇尔·福柯,,1-5万,0-20元,未知,9分以上神作,1,1,38.033818299080224,[]
变形记,[奥地利] 弗朗茨·卡夫卡,彤雅立,北京燕山出版社,1.0,9.2,21029,,https://book.douban.com/subject/35218475/,,[奥地利] 弗朗茨·卡夫卡,,1-5万,0-20元,未知,9分以上神作,1,1,39.769931313268025,[]
你好，旧时光（上 下）,八月长安,新世界出版社,2009-12,39.8,8.7,51895,原作名切题,https://book.douban.com/subject/4166819/,2009.0,八月长安,,5-10万,20-40元,2000.0年代,8.5-9分优秀,2,2,41.021591991701015,['原作名切']
解忧杂货店,[日] 东野圭吾,李盈春,南海出版公司,5.0,8.5,779306,,https://book.douban.com/subject/25862578/,,[日] 东野圭吾,,50-100万,0-20元,未知,8.5-9分优秀,1,4,50.079518169607944,[]
白痴,[俄] 陀思妥耶夫斯基,荣如德,上海译文出版社,1.0,9.3,15193,,https://book.douban.com/subject/25887933/,,[俄] 陀思妥耶夫斯基,,1-5万,0-20元,未知,9分以上神作,3,3,38.889284901905945,[]
康熙的红票,孙立天,商务印书馆,2024-3,78.0,9.3,12437,,https://book.douban.com/subject/36794613/,2024.0,孙立天,,1-5万,60-100元,2020.0年代,9分以上神作,2,1,38.080855399252144,[]
打开一颗心,[英] 斯蒂芬·韦斯塔比,高天羽,广西师范大学出版社,4.0,9.1,14346,,https://book.douban.com/subject/30277179/,,[英] 斯蒂芬·韦斯塔比,,1-5万,0-20元,未知,9分以上神作,1,1,37.82625052114471,[]
时间的秩序,[意] 卡洛·罗韦利,杨光,湖南科学技术出版社,6.0,8.9,24548,,https://book.douban.com/subject/33424487/,,[意] 卡洛·罗韦利,,1-5万,0-20元,未知,8.5-9分优秀,1,1,39.071143420045864,[]
夏洛的网,[美] E.B.怀特,任溶溶,上海译文出版社,5.0,8.7,73635,,https://book.douban.com/subject/1036274/,,[美] E.B.怀特,,5-10万,0-20元,未知,8.5-9分优秀,1,1,42.34363333305328,[]
顾城的诗,顾城,人民文学出版社,1998-12,20.0,8.8,27852,,https://book.douban.com/subject/1033825/,1998.0,顾城,,1-5万,0-20元,1990.0年代,8.5-9分优秀,20,1,39.11473620123118,[]
红星照耀中国,[美] 埃德加·斯诺埃,董乐山,人民文学出版社,6.0,9.2,25260,,https://book.douban.com/subject/26820347/,,[美] 埃德加·斯诺埃,,1-5万,0-20元,未知,9分以上神作,1,1,40.502386785217666,[]
贾想 I,贾樟柯,台海出版社,2017-6-1,49.0,9.0,15219,,https://book.douban.com/subject/27062726/,2017.0,贾樟柯,,1-5万,40-60元,2010.0年代,9分以上神作,1,1,37.6414750533336,[]
