书名,作者,出版社,出版时间,价格,评分,评价人数,简介,书籍链接,出版年份,主要作者,译者编者,评价区间,价格区间,出版年代,评分等级,出版社热度,作者热度,热度指数,简介关键词
我的天才女友,[意] 埃莱娜·费兰特,陈英,人民文学出版社,1.0,8.8,134987,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争,https://book.douban.com/subject/26878124/,,[意] 埃莱娜·费兰特,,10-50万,0-20元,未知,8.5-9分优秀,4,4,45.146569120674265,"['年的友谊', '和战争', '第一部']"
鹿鼎记,金庸,广州出版社 花城出版社,2008-3,108.0,8.9,58003,武侠的解构，流氓的狂欢,https://book.douban.com/subject/1212893/,2008.0,金庸,,5-10万,100元以上,2000.0年代,8.5-9分优秀,1,6,42.39470906275824,"['流氓的狂', '武侠的解']"
人间草木,汪曾祺,江苏文艺出版社,2005-01,20.0,9.2,37258,我就是要这样香，香得痛痛快快,https://book.douban.com/subject/1253310/,2005.0,汪曾祺,,1-5万,0-20元,2000.0年代,9分以上神作,1,2,42.05521975298709,"['快快', '我就是要', '香得痛痛']"
克莱因壶,[日] 冈岛二人,张舟,化学工业出版社,9.0,8.8,84057,,https://book.douban.com/subject/33658616/,,[日] 冈岛二人,,5-10万,0-20元,未知,8.5-9分优秀,1,1,43.33625019633057,[]
面纱,[英] 威廉·萨默塞特·毛姆,于大卫,江西人民出版社,1.0,9.0,50217,,https://book.douban.com/subject/26757680/,,[英] 威廉·萨默塞特·毛姆,,5-10万,0-20元,未知,9分以上神作,2,1,42.30765687676086,[]
陆犯焉识,严歌苓,作家出版社,2011-10,35.0,8.9,60536,翻手为苍凉，覆手为繁华,https://book.douban.com/subject/6880158/,2011.0,严歌苓,,5-10万,20-40元,2010.0年代,8.5-9分优秀,4,1,42.559922116539646,"['翻手为苍', '覆手为繁']"
额尔古纳河右岸,迟子建,人民文学出版社,2019-6-1,32.0,9.0,72143,,https://book.douban.com/subject/34432750/,2019.0,迟子建,,5-10万,20-40元,2010.0年代,9分以上神作,20,1,43.723747782833634,[]
十万个为什么,少年儿童出版社,1962,30.00元,,9.2,22045,,https://book.douban.com/subject/2160556/,,少年儿童出版社,,1-5万,未知,未知,9分以上神作,1,1,39.95845294909354,[]
檀香刑,莫言,浙江文艺出版社,2017-1,56.0,9.2,41808,,https://book.douban.com/subject/26905337/,2017.0,莫言,,1-5万,40-60元,2010.0年代,9分以上神作,2,2,42.5155864099259,[]
边城,沈从文,北岳文艺出版社,2002-4,12.0,8.7,240909,一切充满了善，然而到处是不凑巧,https://book.douban.com/subject/1057244/,2002.0,沈从文,,10-50万,0-20元,2000.0年代,8.5-9分优秀,1,1,46.82212131657642,"['是不凑巧', '了善', '然而到处']"
13 67,陳浩基,皇冠文化出版有限公司,2014-6-9,350.0,9.1,27759,,https://book.douban.com/subject/25897884/,2014.0,陳浩基,,1-5万,100元以上,2010.0年代,9分以上神作,1,1,40.434974733672846,[]
斯通纳,[美] 约翰·威廉斯,杨向荣,上海人民出版社,1.0,8.8,70458,即使不能拥有完美的生活，所幸追求过完整的自我,https://book.douban.com/subject/26425831/,,[美] 约翰·威廉斯,,5-10万,0-20元,未知,8.5-9分优秀,1,1,42.66178673913339,"['自我', '所幸追求', '的生活']"
地下室手记,[俄] 陀思妥耶夫斯基,曾思艺,浙江文艺出版社,5.0,9.2,35736,,https://book.douban.com/subject/34990839/,,[俄] 陀思妥耶夫斯基,,1-5万,0-20元,未知,9分以上神作,1,3,41.88857464306679,[]
时间简史,[英] 史蒂芬·霍金,许明贤,湖南科学技术出版社,4.0,8.9,65129,探索时间和空间的核心秘密,https://book.douban.com/subject/1034282/,,[英] 史蒂芬·霍金,,5-10万,0-20元,未知,8.5-9分优秀,1,1,42.84259224904947,"['和空间的', '核心秘密', '探索时间']"
梦里花落知多少,三毛,北京十月文艺出版社,2007-6,28.0,8.8,101302,哀而不伤,https://book.douban.com/subject/2070844/,2007.0,三毛,,10-50万,20-40元,2000.0年代,8.5-9分优秀,7,6,44.04943857334053,['哀而不伤']
王尔德童话,[英] 王尔德,王林,译林出版社,6.0,9.1,25587,一颗纯美纯善、永难泯灭的童心,https://book.douban.com/subject/1119839/,,[英] 王尔德,,1-5万,0-20元,未知,9分以上神作,1,1,40.11297625908088,"['的童心', '纯善', '永难泯灭']"
金色梦乡,[日] 伊坂幸太郎,李彦桦,译林出版社,9.0,9.0,33733,伊坂幸太郎代表作,https://book.douban.com/subject/5038409/,,[日] 伊坂幸太郎,,1-5万,0-20元,未知,9分以上神作,1,1,40.752494696839186,"['郎代表作', '伊坂幸太']"
一句顶一万句,刘震云,长江文艺出版社,2009-3,29.8,8.8,100052,一句胜过千年,https://book.douban.com/subject/3633461/,2009.0,刘震云,,10-50万,20-40元,2000.0年代,8.5-9分优秀,1,1,44.00198681502205,"['一句胜过', '千年']"
